GlobalTime,SiteTime,time,station,site,moduleConfig,inputParamterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,standAlone,TestSW_Rev_NVM,AFcode,alignment_560cm_EFL,alignment_560cm_PFL,alignment_560cm_distortion_min,alignment_560cm_distortion_max,alignment_560cm_DFOV_EFL,alignment_560cm_DFOV_PFL,alignment_560cm_DFOV_DOTS,alignment_test_ver,alignment_560cm_tilt_X,alignment_560cm_tilt_Y,alignment_560cm_tilt_radial,alignment_560cm_tilt_theta,offset_tilt_test_ver_,alignment_560cm_rotation,rotation_test_ver,alignment_560cm_sensor_temperature,alignment_560cm_pntc_temperature,pass_items,fail_items,result,
T220509225801934VCMCT7021T0,'20220509225953,'2022-05-09 23:00:00:544,VCMCT7021T01,7,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1N1985ZD,17cc15160666,0x5240f961dcde1d05,AS1C064060KPC631A831060046,AJ8C072352HMB431B637,DNB21523054460A06A,0,0.0000000000,-178,5.8051160421,5.8111400317,-0.0336526760,2.9534185814,79.0309229427,78.9725891986,77.4012981364,9.0000000000,-0.0412796229,0.0487397924,0.0638715350,-49.7374433480,8.4000000000,-0.1276924755,8.4000000000,38.3047000000,34.1192729884,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509225825288VCMCT7021T0,'20220509230017,'2022-05-09 23:00:23:864,VCMCT7021T01,6,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1M1985ZE,17cc15170846,0x5240f561da4e2007,AS1C064060JKC631A535025019,AJ8C072353DFB331B618,DNB21523055180G12A,0,0.0000000000,-172,5.8063904647,5.8124171010,-0.0204789281,2.9471059810,79.0185759684,78.9602318574,77.4279019710,9.0000000000,-0.1004565694,-0.0493769962,0.1119356963,26.1752899818,8.4000000000,-0.1984756829,8.4000000000,38.4586000000,33.6991074170,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509225848093VCMCT7021T0,'20220509230041,'2022-05-09 23:00:47:774,VCMCT7021T01,4,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1F1985ZL,17cc15160952,0x5240ea61de79dc07,AS1C064034E2A531B631029054,AJ8C072353D7B331B638,DNB21523050350E05A,0,0.0000000000,-194,5.8072753571,5.8133038314,-0.0650033609,2.9527590933,79.0100047735,78.9516534660,77.4228881147,9.0000000000,-0.3337115977,-0.2047293942,0.3915043544,31.5286024508,8.4000000000,-0.2450072406,8.4000000000,38.3560000000,33.5346048324,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509225910848VCMCT7021T0,'20220509230104,'2022-05-09 23:01:10:675,VCMCT7021T01,1,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1G1985ZK,17cc15160518,0x5240ea61de7a5e05,AS1C064024FDA531B330023040,AJ8C072353D5B131B617,DNB21523055170D02A,0,0.0000000000,-181,5.8083690926,5.8143998391,-0.0595878162,2.9126324870,78.9994128423,78.9410526421,77.4607879639,9.0000000000,-0.1059559468,-0.1227476496,0.1621529508,49.1992038401,8.4000000000,-0.3066610077,8.4000000000,37.6378000000,33.8534339594,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509225934752VCMCT7021T0,'20220509230127,'2022-05-09 23:01:34:345,VCMCT7021T01,8,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1A1985ZR,17cc15160400,0x5240f961dcde5503,AS1C064050EMC631A132103030,AJ8C072352E2B331B619,DNB21523053120L08A,0,0.0000000000,-167,5.8063054243,5.8123318840,-0.0609695776,2.9247221510,79.0193997643,78.9610563449,77.4384340944,9.0000000000,-0.3149545299,0.0703825125,0.3227225657,-12.5967358301,8.4000000000,0.1381545906,8.4000000000,37.1248000000,33.3010497750,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509225958407VCMCT7021T0,'20220509230151,'2022-05-09 23:01:57:465,VCMCT7021T01,5,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC2H1985ZF,17cc15170919,0x5240f961dedcd601,AS1C064024D6A531B734019046,AJ7C0722E363B131B618,DNB21523055270E02A,0,0.0000000000,-197,5.8073989079,5.8134276389,-0.0256225548,2.7700618336,79.0088081662,78.9504558541,77.4172495388,9.0000000000,-0.1161670449,0.2359788349,0.2630218386,-63.7901167587,8.4000000000,-0.2178812531,8.4000000000,39.2794000000,34.0392066452,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230021961VCMCT7021T0,'20220509230214,'2022-05-09 23:02:21:395,VCMCT7021T01,3,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC2E1985ZJ,17cc15160370,0x5240f961dcdea103,AS1C064050ENC631A432105043,AJ8C072352E6B331B617,DNB21523053120L03A,0,0.0000000000,-173,5.8045965727,5.8106194837,-0.1676469677,3.0106736686,79.0359566377,78.9776271201,77.4020492633,9.0000000000,-0.1686145520,-0.1686145520,0.2384562979,45.0000000000,8.4000000000,-0.2165560055,8.4000000000,38.3560000000,34.4500217023,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230045216VCMCT7021T0,'20220509230237,'2022-05-09 23:02:43:815,VCMCT7021T01,2,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1X1985Z4,17cc15170871,0x5240f961dd146507,AS1C064034CDA531C034044050,AJ8C0723639NB131B622,DNB21523055170C01A,0,0.0000000000,-195,5.8057634379,5.8117887719,-0.0442164034,2.9061310576,79.0246503821,78.9663113713,77.4290516531,9.0000000000,0.0795868849,0.1396931111,0.1607737147,60.3287163241,8.4000000000,-0.2593715261,8.4000000000,37.2274000000,33.6803560105,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230108471VCMCT7021T0,'20220509230300,'2022-05-09 23:03:06:785,VCMCT7021T01,7,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC221985ZW,17cc15170405,0x5240f961dd142401,AS1C0640239GA731B234053004,AJ8C072362F7B131B619,DNB21523053120L01A,0,0.0000000000,-183,5.8068104048,5.8128379133,-0.0962111792,2.9546303121,79.0145081744,78.9561606480,77.4409769788,9.0000000000,-0.1621389177,-0.2129229120,0.2676279340,52.7111014751,8.4000000000,-0.2723626111,8.4000000000,38.9716000000,34.1154541479,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
T220509230131625VCMCT7021T0,'20220509230323,'2022-05-09 23:03:30:405,VCMCT7021T01,6,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRInfinity_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC281985ZQ,17cc15170083,0x5240f161ded77f03,AS1C0640239HA731A631055031,AJ8C072362F4B231B631,DNB21523053600G09A,0,0.0000000000,-174,5.8042704730,5.8102927070,-0.0929021681,2.7953902081,79.0391168399,78.9807899758,77.4744134519,9.0000000000,-0.0057649409,0.0549364790,0.0552381320,-84.0094052821,8.4000000000,-0.3103702180,8.4000000000,38.7664000000,33.8496578608,alignment_560cm_DFOV_EFL / alignment_560cm_EFL / alignment_560cm_rotation / alignment_560cm_tilt_X / alignment_560cm_tilt_Y / ,,1,
