GlobalTime,SiteTime,time,station,site,moduleConfig,inputParamterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,standAlone,TestSW_Rev_NVM,AFcode,alignment_15cm_EFL,alignment_15cm_PFL,alignment_15cm_distortion_min,alignment_15cm_distortion_max,alignment_15cm_DFOV_EFL,alignment_15cm_DFOV_PFL,alignment_15cm_DFOV_DOTS,alignment_test_ver,alignment_15cm_tilt_X,alignment_15cm_tilt_Y,alignment_15cm_tilt_radial,alignment_15cm_tilt_theta,offset_tilt_test_ver_,alignment_15cm_rotation,rotation_test_ver,alignment_15cm_sensor_temperature,alignment_15cm_pntc_temperature,pass_items,fail_items,result,
T220509215703562VCMCT7021T0,'20220509221855,'2022-05-09 22:19:06:985,VCMCT7021T02,7,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1M1985ZE,17cc15170846,0x5240f561da4e2007,AS1C064060JKC631A535025019,AJ8C072353DFB331B618,DNB21523055180G12A,0,0.0000000000,362,5.7040778231,5.9295623921,-0.0758232173,1.3576904878,80.0201608711,77.8403265635,77.7428771177,9.0000000000,0.0373682639,-0.1678317898,0.1719415041,-77.4477031953,8.4000000000,-0.0815308731,8.4000000000,42.0496000000,33.6766075184,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509215726566VCMCT7021T0,'20220509221918,'2022-05-09 22:19:31:565,VCMCT7021T02,6,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1F1985ZL,17cc15160952,0x5240ea61de79dc07,AS1C064034E2A531B631029054,AJ8C072353D7B331B638,DNB21523050350E05A,0,0.0000000000,356,5.6975179898,5.9224740044,-0.1089328202,1.4097383855,80.0850992478,77.9073315546,77.7833948827,9.0000000000,-0.1533372602,-0.3095745294,0.3454674940,63.6502106010,8.4000000000,-0.3527892399,8.4000000000,43.6912000000,34.5159529207,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509221835550VCMCT7021T0,'20220509221941,'2022-05-09 22:19:53:005,VCMCT7021T02,4,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1G1985ZK,17cc15160518,0x5240ea61de7a5e05,AS1C064024FDA531B330023040,AJ8C072353D5B131B617,DNB21523055170D02A,0,0.0000000000,357,5.6969595389,5.9218705864,-0.0038738510,1.3302075327,80.0906316227,77.9130400149,77.8411391447,9.0000000000,-0.0831303240,-0.2238489707,0.2387862471,69.6267012447,8.4000000000,-0.2323069618,8.4000000000,39.1255000000,31.6937428161,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509221857704VCMCT7021T0,'20220509222003,'2022-05-09 22:20:14:046,VCMCT7021T02,1,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1A1985ZR,17cc15160400,0x5240f961dcde5503,AS1C064050EMC631A132103030,AJ8C072352E2B331B619,DNB21523053120L08A,0,0.0000000000,378,5.6967179217,5.9216095154,-0.0162477251,1.2723543249,80.0930254349,77.9155100188,77.8078068019,9.0000000000,-0.0671130636,0.0044956140,0.0672634657,-3.8322697462,8.4000000000,0.0281141476,8.4000000000,40.4593000000,33.0624867620,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509221921158VCMCT7021T0,'20220509222026,'2022-05-09 22:20:38:926,VCMCT7021T02,8,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC2H1985ZF,17cc15170919,0x5240f961dedcd601,AS1C064024D6A531B734019046,AJ7C0722E363B131B618,DNB21523055270E02A,0,0.0000000000,349,5.6996543845,5.9247824669,-0.0703494529,1.3628663033,80.0639406109,77.8854995084,77.7618784580,9.0000000000,0.0046133865,0.0669736144,0.0671323195,86.0594844956,8.4000000000,-0.3429154718,8.4000000000,42.2035000000,33.0807520208,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509221943963VCMCT7021T0,'20220509222049,'2022-05-09 22:21:02:266,VCMCT7021T02,5,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC2E1985ZJ,17cc15160370,0x5240f961dcdea103,AS1C064050ENC631A432105043,AJ8C072352E6B331B617,DNB21523053120L03A,0,0.0000000000,366,5.6946195105,5.9193421873,-0.0434533306,1.2698807233,80.1138203648,77.9369668493,77.7994709948,9.0000000000,-0.0033877958,-0.2416613368,0.2416850814,89.1968407482,8.4000000000,-0.3833963911,8.4000000000,41.7931000000,34.0696761285,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222006669VCMCT7021T0,'20220509222113,'2022-05-09 22:21:25:516,VCMCT7021T02,3,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1X1985Z4,17cc15170871,0x5240f961dd146507,AS1C064034CDA531C034044050,AJ8C0723639NB131B622,DNB21523055170C01A,0,0.0000000000,348,5.6958472371,5.9206687348,-0.0782472307,1.2610548325,80.1016526947,77.9244118776,77.8066515369,9.0000000000,0.1313338496,0.1871503979,0.2286342190,54.9405730331,8.4000000000,-0.2471796074,8.4000000000,41.5879000000,34.3302647321,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222028923VCMCT7021T0,'20220509222136,'2022-05-09 22:21:48:866,VCMCT7021T02,2,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC221985ZW,17cc15170405,0x5240f961dd142401,AS1C0640239GA731B234053004,AJ8C072362F7B131B619,DNB21523053120L01A,0,0.0000000000,364,5.6967971933,5.9216951695,-0.0261468222,1.3323733944,80.0922400415,77.9146996274,77.8260653788,9.0000000000,0.0064222128,-0.1793397062,0.1794546586,-87.9491027086,8.4000000000,-0.2238541328,8.4000000000,41.5366000000,33.3860475242,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222052830VCMCT7021T0,'20220509222159,'2022-05-09 22:22:12:496,VCMCT7021T02,7,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC281985ZQ,17cc15170083,0x5240f161ded77f03,AS1C0640239HA731A631055031,AJ8C072362F4B231B631,DNB21523053600G09A,0,0.0000000000,372,5.6976897471,5.9226595927,-0.1711688718,1.3487712874,80.0833978366,77.9055759913,77.8085228936,9.0000000000,0.1374475154,-0.0442435367,0.1443928496,-17.8430291603,8.4000000000,-0.2183654629,8.4000000000,42.8704000000,34.2302885609,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
T220509222115984VCMCT7021T0,'20220509222222,'2022-05-09 22:22:34:726,VCMCT7021T02,6,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_SFRMacro_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC291985ZP,17cc15170005,0x5240f961dcde6c05,AS1C064050L7C631A935021047,AJ8C072342BFB431B634,DNB21523053120K08A,0,0.0000000000,361,5.6899360046,5.9142819084,-0.0653610786,1.3138007159,80.1602655799,77.9848905847,77.8390667387,9.0000000000,0.0145272031,0.2083323848,0.2088382591,86.0111883422,8.4000000000,-0.2311472250,8.4000000000,41.9470000000,33.8874460638,alignment_15cm_DFOV_EFL / alignment_15cm_EFL / ,,1,
