GlobalTime,SiteTime,time,station,site,moduleConfig,inputParamterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,standAlone,TestSW_Rev_NVM,infu2vcmStart_margin_DAC,infu2vcmStart_margin_um_vcmPoly,sph_oc_EMcouple_H1B2,sph_oc_EMcouple_H1_6,sph_oc_EMcouple_H1_7,sph_oc_EMcouple_H1_8,sph_oc_EMcouple_H1_9,sph_oc_EMcouple_H2B1,sph_oc_EMcouple_H2_2,sph_oc_EMcouple_H2_3,sph_oc_EMcouple_H2_4,sph_oc_EMcouple_H2_5,sph_ResFreq_X_Q,sph_ResFreq_X_QHz,sph_ResFreq_X_Q_REL_delta,sph_ResFreq_Y_Q,sph_ResFreq_Y_QHz,sph_ResFreq_Y_Q_REL_delta,sph_oc_H1_1,sph_oc_H2_1,sph_oc_gain_B1,sph_oc_gain_B2,sph_oc_gain_H1,sph_oc_gain_H2,sph_oc_hall_offset_x,sph_oc_hall_offset_y,sph_oc_theta_B1,sph_oc_theta_B2,sph_oc_theta_H1,sph_oc_theta_H2,sph_oc_xpt_act_x,sph_oc_xpt_act_y,sph_EMcouple_H1_dev,sph_EMcouple_H2_dev,sph_H1_1_dev,sph_H2_1_dev,sph_ViscoElastic_X_Q0_REL_delta,sph_ViscoElastic_Y_Q0_REL_delta,sph_gain_B1_dev,sph_gain_B2_dev,sph_gain_H1_dev,sph_gain_H2_dev,sph_neutral_x_dev,sph_neutral_y_dev,sph_theta_B1_dev,sph_theta_B2_dev,sph_theta_H1_dev,sph_theta_H2_dev,sph_ViscoElastic_XYDelta_F0,sph_ViscoElastic_XYDelta_Q0,sph_ViscoElastic_XYDelta_Rho1,sph_ViscoElastic_XYDelta_Rho2,sph_ViscoElastic_XYDelta_Tau1,sph_ViscoElastic_XYDelta_Tau2,sph_ViscoElastic_X_Cost,sph_ViscoElastic_X_F0,sph_ViscoElastic_X_Q0,sph_ViscoElastic_X_Rho1,sph_ViscoElastic_X_Rho2,sph_ViscoElastic_X_Tau1,sph_ViscoElastic_X_Tau2,sph_ViscoElastic_X_Td,sph_ViscoElastic_Y_Cost,sph_ViscoElastic_Y_F0,sph_ViscoElastic_Y_Q0,sph_ViscoElastic_Y_Rho1,sph_ViscoElastic_Y_Rho2,sph_ViscoElastic_Y_Tau1,sph_ViscoElastic_Y_Tau2,sph_ViscoElastic_Y_Td,dev_b1,dev_b2,dev_h1,dev_h1_theta,dev_h2,dev_h2_theta,RESULT,FAIL_ITEMS_01,FAIL_ITEMS_02,FAIL_ITEMS_03,FAIL_ITEMS_04,FAIL_ITEMS_05,FAIL_ITEMS_06,FAIL_ITEMS_07,FAIL_ITEMS_08,FAIL_ITEMS_09,FAIL_ITEMS_10,
T220403115918215VCMCT7991T0,20220403120003,'2022-04-03 12:00:21:750,VCMCT7991T01,2,DB_B_C3191,220217A,EPSSWEXCEPTION_R21A_UDT_MFG_Collimator_O3191_22033001_18d3021,VGY841GRR501,GCF21356DYG1985VF,17ce52200120,0x5240f161d6b69c03,AS1C074061D6A333C531060009,AJ7C0762E3K0B337B605,DNB22055061590F03A,0,0.0000000000,162.0000000000,87.7816226618,0.9261795861,0.9190862119,0.9234013829,0.9317221153,0.9305086344,0.9258316510,0.9274309945,0.9291269750,0.9228128786,0.9239557561,1.9010669105,104.2480468750,0.1413012855,1.8047184380,103.0273437500,0.0527653130,47.7480000000,72.0920000000,10.1751080730,10.3349495413,9.7378739967,9.1456214330,18.9076698392,9.6272755131,134.6160401940,225.7826323745,223.9785066859,134.3587879445,9.9606758035,12.3392088717,0.0009582018,-0.0004727352,15.8417500000,17.9045000000,-0.0627774435,-0.0492653846,-0.0042707696,-0.0068516957,-0.0028417027,0.0031187176,-2.5343560685,0.2794441851,0.1907014489,-0.0069031480,-0.1020139439,0.1618122365,1.5306573516,0.0333629411,-0.0081523693,-0.0059930576,0.0006569733,0.0078212835,4.5966311476,101.9462211047,2.1930819315,0.1621488000,0.0439493703,0.0047567741,0.0596638415,-0.0000541552,3.7921387897,100.4155637531,2.1597189904,0.1703011693,0.0499424278,0.0040998009,0.0518425580,-0.0000654123,3.4011636998,5.8010500490,1.8677402735,1.3889385891,1.4870603196,1.3745243131,1,,,,,,,,,,,
T220403115941223VCMCT7991T0,20220403120026,'2022-04-03 12:00:45:420,VCMCT7991T01,8,DB_B_C3191,220217A,EPSSWEXCEPTION_R21A_UDT_MFG_Collimator_O3191_22033001_18d3021,VGY841GRR501,GCF21356DXH1985VH,17ce52200147,0x5240f161d9fb7603,AS1C074018D9B433A135031022,AJ7C0762E3JBB137B619,DNB22055061180G14A,0,0.0000000000,146.0000000000,82.0715396471,0.9270589169,0.9270036475,0.9239437053,0.9288195627,0.9284687521,0.9262464156,0.9270586493,0.9292294602,0.9213908653,0.9273066878,1.9962674944,104.4921875000,0.0616971819,1.8979462141,102.7832031250,0.0444305891,39.1760000000,22.6960000000,10.3626455203,10.4525684871,9.6070542684,9.0646477107,14.5269312825,15.8541112395,133.3665011023,226.5762228245,223.5031446453,134.9465198464,10.0880593683,15.4209574556,0.0029670691,0.0020880397,8.5353750000,8.7272500000,-0.0837867663,-0.0879490225,-0.0004381111,0.0014436874,0.0005719661,0.0036980164,-1.3253034423,0.0711148862,0.0208895301,-0.1281381374,-0.1380907063,0.0569019265,2.9102431890,0.0334591311,-0.0194325166,-0.0052585855,0.0007738300,0.0017318323,3.8347417956,104.3678844698,2.2404319837,0.1272994389,0.0393284646,0.0060482490,0.0542697847,-0.0000260841,3.6558449995,101.4576412809,2.2069728525,0.1467319555,0.0445870501,0.0052744190,0.0525379525,-0.0000330556,5.3862929543,8.6720048103,2.3868522810,0.7402668909,0.4409962318,2.2915532068,1,,,,,,,,,,,
T220403120003977VCMCT7991T0,20220403120054,'2022-04-03 12:01:11:190,VCMCT7991T01,5,DB_B_C3191,220217A,EPSSWEXCEPTION_R21A_UDT_MFG_Collimator_O3191_22033001_18d3021,VGY841GRR501,GCF21356DXZ1985V1,17ce52230039,0x5240f161d763fb03,AS1C07502028A833A931106049,AJ7C0762C10MB137B625,DNB22055061910M13A,0,0.0000000000,131.0000000000,73.3003269807,0.9351715181,0.9303997699,0.9336807552,0.9394972305,0.9371083168,0.9360329130,0.9410718167,0.9365111987,0.9340574407,0.9324911958,1.8233506171,98.6328125000,-0.0096571954,1.8449667260,99.6093750000,0.0246542260,35.5500000000,-26.7980000000,9.2655232141,9.4641924059,9.6085568298,9.3376532644,5.2094636150,6.8714110364,136.3506745888,223.9345344184,224.2558509421,135.2905559764,4.9426910483,2.8117075817,0.0011663717,0.0026126599,-0.4187500000,-5.5948750000,0.1875184133,0.1304939494,-0.0042090920,-0.0037692204,-0.0000851429,0.0027010217,0.4581972468,-0.3922498242,0.0051698281,0.1090491889,0.0089026999,-0.0011157765,-1.4669085159,0.0433525890,0.0132852269,0.0024300815,-0.0003444432,-0.0045004002,4.4530101422,94.9044271863,2.2461121633,0.1901148319,0.0458270815,0.0045585939,0.0533538761,-0.0000627769,3.3718432751,96.3713357022,2.2027595744,0.1768296050,0.0433970000,0.0049030371,0.0578542763,-0.0000698204,4.4540560413,12.2770956793,6.5053372869,0.9294633975,1.4693991572,1.6731143081,1,,,,,,,,,,,
T220403120026983VCMCT7991T0,20220403120118,'2022-04-03 12:01:35:220,VCMCT7991T01,4,DB_B_C3191,220217A,EPSSWEXCEPTION_R21A_UDT_MFG_Collimator_O3191_22033001_18d3021,VGY841GRR501,GCF21356DVN1985VJ,17ce52200353,0x5240f161d6bc0805,AS1C074038DNB433B328037007,AJ7C0762F3HDB437B618,DNB22055061610M02A,0,0.0000000000,131.0000000000,73.5948595672,0.9276482386,0.9198540739,0.9310257137,0.9294888285,0.9302243381,0.9293188744,0.9294135283,0.9341043067,0.9264095063,0.9273481562,1.7884846981,102.0507812500,0.0150471981,1.7539995020,102.7832031250,0.0039995020,27.3460000000,35.1960000000,9.8831212154,10.2396635833,8.8336341358,8.9901804269,1.0738547342,11.1881393034,135.2308631190,224.2479837036,222.9857237486,135.6498876013,-3.8970642957,12.3479548206,-0.0006188361,-0.0019690327,11.6428750000,-7.6165000000,0.1769953788,0.1457490917,0.0008224016,0.0012810838,0.0032876392,0.0023894553,-0.3631451713,-1.4967547737,0.2397132167,0.0160501098,0.0494749693,0.2218633093,-0.8344474341,0.0039025371,-0.0001410517,-0.0026579739,0.0002580487,-0.0025959055,4.1668659827,97.5986687918,2.2590266288,0.2116998327,0.0524511160,0.0038253069,0.0429100564,-0.0000775206,3.0756702896,98.4331162259,2.2551240917,0.2118408844,0.0551090899,0.0035672582,0.0455059620,-0.0000935059,3.0314339541,7.4930901404,4.6878359805,1.4956547324,1.2052847798,1.5491801707,1,,,,,,,,,,,
T220403120055537VCMCT7991T0,20220403120142,'2022-04-03 12:01:59:650,VCMCT7991T01,1,DB_B_C3191,220217A,EPSSWEXCEPTION_R21A_UDT_MFG_Collimator_O3191_22033001_18d3021,VGY841GRR501,GCF21356DXR1985V9,17ce52230920,0x5240f161d9594e03,AS1C0750302DA833B237034025,AJ7C0812D10LB437B617,DNB22055061660A08A,0,0.0000000000,149.0000000000,81.9220400926,0.9246148723,0.9210657681,0.9256174023,0.9251976604,0.9265786582,0.9289753336,0.9262281569,0.9301251033,0.9310912757,0.9284567984,2.1489318636,102.7832031250,-0.0034118864,2.0703608150,101.5625000000,0.0293451900,32.8680000000,19.7340000000,10.2627547614,10.4215147603,8.3762967625,8.9955370226,7.5560172054,-2.2122955222,134.2120219592,225.9376693110,225.1951657531,134.1806822261,3.5490201973,-2.8621014711,0.0013808876,-0.0012905600,3.8680000000,5.8355625000,0.0081514435,0.1432057610,-0.0017989290,-0.0000345657,0.0010886887,-0.0022281292,-0.7806719785,0.1351227195,-0.3431080456,0.1334853510,0.2346554992,-0.3050508061,3.2583952961,-0.0471636925,-0.0376781769,-0.0044010056,0.0009322204,-0.0002484111,4.1705776600,100.8920102474,2.5569795685,0.1450402317,0.0338759524,0.0048027583,0.0607106414,-0.0000552354,3.6641113549,97.6336149513,2.6041432610,0.1827184085,0.0382769580,0.0038705379,0.0609590525,-0.0000976888,4.4059062982,5.4529719318,2.5794370847,0.6391605567,1.0253991000,1.4852526426,1,,,,,,,,,,,
T220403120118840VCMCT7991T0,20220403120204,'2022-04-03 12:02:23:130,VCMCT7991T01,7,DB_B_C3191,220217A,EPSSWEXCEPTION_R21A_UDT_MFG_Collimator_O3191_22033001_18d3021,VGY841GRR501,GCF21356DXV1985V5,17ce52230193,0x5240f161d6bad001,AS1C0750202LA833A834057048,AJ7C0812B112B237B616,DNB22055061660B02A,0,0.0000000000,135.0000000000,76.3842923261,0.9316688501,0.9311812479,0.9282201808,0.9340161597,0.9332578121,0.9260431104,0.9308456995,0.9270503250,0.9235051689,0.9227712482,2.0974522827,100.0976562500,0.0388585327,2.0598096448,99.8535156250,0.0402783948,22.4060000000,-11.6740000000,9.9693457789,9.9815381614,9.2829122799,9.4938494097,-3.3153539487,1.2577166812,134.7830114450,224.8369119345,224.2511491464,134.4299391974,-4.0147824988,-0.7447635773,0.0021312001,-0.0023480852,8.7419375000,2.5291250000,0.0006968714,-0.0478931388,0.0000597647,-0.0002841278,0.0010217117,-0.0014685913,-0.8587244859,-0.4690435945,0.2266759958,-0.1251394571,-0.1673231436,0.2405776252,1.6453757549,-0.0646912398,-0.0216693971,-0.0094415189,0.0012472439,0.0227122650,4.6610208162,98.3959711141,2.4069468714,0.1258800297,0.0370082259,0.0051740687,0.0611945056,-0.0000732531,3.8446173742,96.7505953592,2.4716381112,0.1475494267,0.0464497447,0.0039268249,0.0384822406,-0.0001079303,3.0955911431,6.5305846240,1.9573326660,1.2557803918,0.9636679238,1.2252961033,1,,,,,,,,,,,
T220403120142643VCMCT7991T0,20220403120228,'2022-04-03 12:02:47:015,VCMCT7991T01,6,DB_B_C3191,220217A,EPSSWEXCEPTION_R21A_UDT_MFG_Collimator_O3191_22033001_18d3021,VGY841GRR501,GCF21356DW61985VX,17ce52240233,0x5240f161d6b6cf03,AS1C0740260MB833B036108102,AJ8C076350PMB237B619,DNB22055062620F06A,0,0.0000000000,146.0000000000,80.3449001892,0.9238732155,0.9149829870,0.9226476303,0.9320178920,0.9258443529,0.9234577703,0.9175738601,0.9305787259,0.9222868569,0.9233916382,1.9451959718,105.4687500000,0.0672662843,1.7603416244,101.3183593750,-0.0052833756,5.6140000000,13.2340000000,10.2693742083,10.4661104042,8.9412549014,10.3108289733,4.8664609741,13.1739404785,132.5303924259,227.9300184934,224.2931465036,135.0576597052,3.4831735713,14.1818282506,-0.0010072094,-0.0025097503,7.5759140625,17.6285312500,-0.1588841412,0.0054799313,-0.0064399859,-0.0083922045,-0.0030656556,-0.0016746531,-1.8149982447,0.6124907436,-0.1571533504,-0.0735978396,-0.0518699759,-0.1321748896,6.7489097255,0.0133703025,-0.0628330381,-0.0109625934,0.0012011292,-0.0009764597,5.1156718079,102.8760615100,2.2864283588,0.1570363213,0.0411028099,0.0049255589,0.0500037767,-0.0000499750,3.6112570424,96.1271517845,2.2730580563,0.2198693594,0.0520654033,0.0037244297,0.0509802363,-0.0000954731,4.0946621158,6.4391075309,3.5807466756,1.3405128403,1.5701667235,1.1484564895,1,,,,,,,,,,,
T220403120205396VCMCT7991T0,20220403120251,'2022-04-03 12:03:10:125,VCMCT7991T01,3,DB_B_C3191,220217A,EPSSWEXCEPTION_R21A_UDT_MFG_Collimator_O3191_22033001_18d3021,VGY841GRR501,GCF21356DXQ1985VA,17ce52240817,0x5240f161d9756401,AS1C0740634CB633A930104100,AJ7C0762B0KHB437B617,DNB22055062800F09A,0,0.0000000000,152.0000000000,83.5712462874,0.9334494223,0.9315826078,0.9314292619,0.9378586602,0.9329271593,0.9322475232,0.9296546283,0.9349649474,0.9321350960,0.9322354212,1.9037304453,100.8300781250,0.0101757578,1.9067797162,100.5859375000,0.0278734662,22.6480000000,22.8900000000,9.7522732452,9.9018507268,9.8139270499,8.9279361841,13.2981656658,19.4717943942,135.0318886570,224.9413675376,224.5836694604,134.1719391206,10.0893506142,20.2935647345,0.0056309399,0.0001272538,8.6714375000,9.0931250000,-0.0623339714,0.0880337789,-0.0005676738,-0.0012317628,0.0009423605,0.0033150409,-1.3404839878,0.1145075805,0.1284157566,0.0712350913,0.0439813501,0.1527893403,0.9130411786,-0.1015396253,-0.0244516720,0.0020911270,0.0008155613,0.0157647970,4.8338998364,97.2946701318,2.3048535286,0.1649372536,0.0460062527,0.0044521785,0.0581989866,-0.0001010520,3.2931136363,96.3816289531,2.4063931539,0.1893889256,0.0439151258,0.0036366173,0.0424341897,-0.0001304687,3.1258940264,6.7573418665,1.1974515212,0.8013245937,1.8604067353,1.9916332035,1,,,,,,,,,,,
T220403120229354VCMCT7991T0,20220403120314,'2022-04-03 12:03:31:505,VCMCT7991T01,2,DB_B_C3191,220217A,EPSSWEXCEPTION_R21A_UDT_MFG_Collimator_O3191_22033001_18d3021,VGY841GRR501,GCF21356DW51985VY,17ce52240887,0x5240f161d6bab701,AS1C074052C1A433B633111028,AJ8C076340LAB137B613,DNB22055060640K06A,0,0.0000000000,135.0000000000,75.7556296166,0.9266962270,0.9262479114,0.9243034275,0.9306630138,0.9255705554,0.9216329214,0.9212147319,0.9247735178,0.9212960894,0.9192473465,2.0159318095,106.9335937500,0.0628068095,1.8249645569,101.8066406250,0.0349254944,15.1260000000,15.1400000000,10.4359598204,10.6079281100,10.0243400174,9.7298350553,-0.7733845673,14.4537886626,131.4976477268,228.0012746580,224.4923689994,134.1776601226,-3.0748453359,15.0218997629,0.0052298056,-0.0023762035,8.4189687500,7.4251562500,0.1263683943,0.0401617050,-0.0053590045,-0.0008721133,-0.0022429843,-0.0068429928,-1.1271750918,-0.0448601441,-0.1258721706,-0.0219797366,0.0022566947,-0.1282175629,5.7116654473,0.2112066893,-0.0163148802,-0.0067809414,-0.0000855801,0.0031617143,4.2804209766,104.4038432103,2.4212902693,0.1683861391,0.0361946865,0.0047217924,0.0577754912,-0.0000412164,3.3017406493,98.6921777630,2.2100835800,0.1847010192,0.0429756279,0.0048073725,0.0546137770,-0.0000513658,4.8619860662,4.0725830557,2.3411753161,1.5688555952,0.8343720599,1.1802559158,1,,,,,,,,,,,
T220403120253107VCMCT7991T0,20220403120338,'2022-04-03 12:03:56:395,VCMCT7991T01,8,DB_B_C3191,220217A,EPSSWEXCEPTION_R21A_UDT_MFG_Collimator_O3191_22033001_18d3021,VGY841GRR501,GCF21356DYA1985VM,17ce52200159,0x5240f161d6bbff03,AS1C074028DKB4339434030119,AJ7C0762E3HLB137B609,DNB22055061610K11A,0,0.0000000000,132.0000000000,74.9121023055,0.9284670523,0.9247584278,0.9285233070,0.9298933650,0.9306931092,0.9257582882,0.9247825746,0.9265076849,0.9239754987,0.9277673947,1.8648143475,104.4921875000,0.0405955975,1.7460903722,102.5390625000,-0.0380893153,23.3460000000,17.5460000000,10.2066336772,10.5241706256,9.6207988398,9.4347388612,-5.4149581307,3.8014731846,133.9163783758,226.4730369926,224.3168653994,134.4617095494,-8.4220854790,3.9934690205,0.0018443219,-0.0026549320,8.3225625000,7.9131875000,0.1997011011,0.0921458039,0.0011104296,0.0015567584,0.0028194230,0.0046976491,-1.2103251548,-0.0060188186,-0.0643192560,-0.0594642281,-0.0928941221,-0.0373596645,1.7128532243,0.1348990472,-0.0001602027,-0.0004516066,-0.0004508535,-0.0061587386,3.7275306773,100.8810700216,2.2504823511,0.1894474945,0.0459437837,0.0043558815,0.0541426206,-0.0000603495,3.2264609245,99.1682167973,2.1155833039,0.1896076972,0.0463953903,0.0048067350,0.0603013591,-0.0000585852,4.8831956032,8.2969183154,3.7923889958,0.9438119209,2.0906019846,1.7347972707,1,,,,,,,,,,,
