GlobalTime,SiteTime,time,station,site,moduleConfig,inputParamterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,standAlone,TestSW_Rev_NVM,LightAmount_Peak0_Neutral,vcm_um_Peak0_Neutral,LightAmount_Peak1_Neutral,vcm_um_Peak1_Neutral,LightAmount_Peak2_Neutral,vcm_um_Peak2_Neutral,LightAmount_Peak3_Neutral,vcm_um_Peak3_Neutral,vcm_um_targetpeak,
T220509170715369VCMCT7021T0,'20220509170725,'2022-05-09 17:07:29:985,VCMCT7021T01,2,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC2E1985ZJ,17cc15160370,0x5240f961dcdea103,AS1C064050ENC631A432105043,AJ8C072352E6B331B617,DNB21523053120L03A,0,0.0000000000,1251,-445.1840000000,1273,-0.0000000000,1089,-0.0000000000,2550,-0.0000000000,-445.1840000000,
T220509170732611VCMCT7021T0,'20220509170747,'2022-05-09 17:07:52:555,VCMCT7021T01,7,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1X1985Z4,17cc15170871,0x5240f961dd146507,AS1C064034CDA531C034044050,AJ8C0723639NB131B622,DNB21523055170C01A,0,0.0000000000,1103,-565.7600000000,1300,-0.0000000000,2516,-0.0000000000,1492,-0.0000000000,-565.7600000000,
T220509170751965VCMCT7021T0,'20220509170810,'2022-05-09 17:08:15:115,VCMCT7021T01,6,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC221985ZW,17cc15170405,0x5240f961dd142401,AS1C0640239GA731B234053004,AJ8C072362F7B131B619,DNB21523053120L01A,0,0.0000000000,1877,-442.1120000000,1500,-0.0000000000,1222,-0.0000000000,2694,-0.0000000000,-442.1120000000,
T220509170814420VCMCT7021T0,'20220509170832,'2022-05-09 17:08:37:545,VCMCT7021T01,4,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC281985ZQ,17cc15170083,0x5240f161ded77f03,AS1C0640239HA731A631055031,AJ8C072362F4B231B631,DNB21523053600G09A,0,0.0000000000,2061,-509.4400000000,1598,-0.0000000000,1050,-0.0000000000,2524,-0.0000000000,-509.4400000000,
T220509170836524VCMCT7021T0,'20220509170912,'2022-05-09 17:09:16:805,VCMCT7021T01,1,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC291985ZP,17cc15170005,0x5240f961dcde6c05,AS1C064050L7C631A935021047,AJ8C072342BFB431B634,DNB21523053120K08A,0,0.0000000000,1777,-471.2960000000,1292,-0.0000000000,1241,-0.0000000000,2559,-0.0000000000,-471.2960000000,
T220509170916238VCMCT7021T0,'20220509170937,'2022-05-09 17:09:42:355,VCMCT7021T01,8,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1H1985ZJ,17cc15170702,0x5240f961dedca607,AS1C064033AHA731A735015026,AJ8C072362F8B131B610,DNB21523055550M13A,0,0.0000000000,1325,-609.7920000000,1378,-0.0000000000,2733,-0.0000000000,1987,-0.0000000000,-609.7920000000,
T220509170941743VCMCT7021T0,'20220509171002,'2022-05-09 17:10:07:595,VCMCT7021T01,5,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1E1985ZM,17cc15170710,0x5240f961dcdecf07,AS1C064040K3C631A128051045,AJ8C072353DCB231B626,DNB21523055180H08A,0,0.0000000000,1577,-404.9920000000,1420,-0.0000000000,1292,-0.0000000000,2399,-0.0000000000,-404.9920000000,
T220509171007047VCMCT7021T0,'20220509171028,'2022-05-09 17:10:33:145,VCMCT7021T01,3,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1B1985ZQ,17cc15160488,0x5240ea61de795201,AS1C064014D2A531B833018101,AJ8C072343A8B331B625,DNB21523055170A09A,0,0.0000000000,1478,-492.8000000000,1294,-0.0000000000,2703,-0.0000000000,1604,-0.0000000000,-492.8000000000,
T220509171032052VCMCT7021T0,'20220509171053,'2022-05-09 17:10:58:215,VCMCT7021T01,2,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1T1985Z8,17cc15170070,0x5240f161ded78403,AS1C064060JJC631A934007053,AJ8C0723639BB431B638,DNB21523055180G13A,0,0.0000000000,1392,-432.3840000000,1421,-0.0000000000,1066,-0.0000000000,2423,-0.0000000000,-432.3840000000,
T220509171057756VCMCT7021T0,'20220509171115,'2022-05-09 17:11:20:775,VCMCT7021T01,7,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR466,GCF2174HC1N1985ZD,17cc15160666,0x5240f961dcde1d05,AS1C064060KPC631A831060046,AJ8C072352HMB431B637,DNB21523054460A06A,0,0.0000000000,1036,-539.3920000000,1157,-0.0000000000,2354,-0.0000000000,1400,-0.0000000000,-539.3920000000,
